geo_feature_id,district_name,state_name,normalized_district,normalized_state,state_code,latitude,longitude
149,Samastipur,BR,samastipur,br,,25.771111547481258,85.92784170516678
150,Saran,BR,saran,br,,25.89952052554199,84.80904258549546
151,Sheikhpura,BR,sheikhpura,br,,25.125909170972854,85.82865318889527
152,Sheohar,BR,sheohar,br,,26.481532010064004,85.30895504084977
153,Sitamarhi,BR,sitamarhi,br,,26.496927042206167,85.53924652424098
154,Siwan,BR,siwan,br,,26.178176592537852,84.40674503705257
155,Supaul,BR,supaul,br,,26.229499498232514,86.76671250982928
156,Vaishali,BR,vaishali,br,,25.79970391272818,85.39950066662185
157,Arwal,BR,arwal,br,,25.163510871661888,84.70311735873621
158,Bastar,CG,bastar,cg,,19.1138419977536,81.81965554024946
159,Bilaspur,CG,bilaspur,cg,,22.187103226410624,82.09202384861617
160,Dantewada,CG,dantewada,cg,,18.770961998605177,81.42432095591973
161,Dhamtari,CG,dhamtari,cg,,20.562545547117878,81.76181468015872
162,Durg,CG,durg,cg,,21.206799395365337,81.37261301616078
163,Janjgir-Champa,CG,janjgir-champa,cg,,21.965513073667935,82.76247961045274
164,Jashpur,CG,jashpur,cg,,22.78778423631672,83.8555015026322
165,Kanker,CG,kanker,cg,,20.096147803136994,81.04673023496852
166,Kabirdham,CG,kabirdham,cg,,22.09045018123,81.22725564163153
167,Korba,CG,korba,cg,,22.50755398638502,82.58896764631166
168,Korea,CG,korea,cg,,23.491771603303633,82.16429022726369
169,Mahasamund,CG,mahasamund,cg,,21.21667786413236,82.65202617496408
170,Raigarh,CG,raigarh,cg,,22.02783941060894,83.29652951569497
171,Raipur,CG,raipur,cg,,21.309607490346135,81.80769563085683
172,Rajnandgaon,CG,rajnandgaon,cg,,20.960399691763378,80.81293914887908
173,Surguja,CG,surguja,cg,,22.924216768363735,83.24610142269864
174,Bijapur,CG,bijapur,cg,,18.757166709956188,80.8051764550307
175,Narayanpur,CG,narayanpur,cg,,19.504254322432427,81.06034097465519
176,Sukma,CG,sukma,cg,,18.332545452119966,81.38516621809892
177,Kondagaon,CG,kondagaon,cg,,19.657439814932243,81.63409667929153
178,Baloda Bazar,CG,baloda_bazar,cg,,21.54905183210202,82.30521495202822
179,Gariyaband,CG,gariyaband,cg,,20.34222129735979,82.29075292638792
180,Balod,CG,balod,cg,,20.76633577865793,81.19105014302139
181,Mungeli,CG,mungeli,cg,,22.228601593561102,81.76126672940505
182,Surajpur,CG,surajpur,cg,,23.379265570459328,82.87747911068145
183,Balrampur,CG,balrampur,cg,,23.59656301432441,83.4313254105161
184,Bemetara,CG,bemetara,cg,,21.71718028509829,81.50641147679605
185,Gaurella Pendra Marwahi,CG,gaurella_pendra_marwahi,cg,,22.80731418578433,81.99595834162291
186,Chandigarh,CH,chandigarh,ch,,30.73209607605133,76.78538433208432
187,Daman,DH,daman,dh,,20.4128423073227,72.86828124557981
188,New Delhi,DL,new_delhi,dl,,28.571931161274566,77.15462573062344
189,North,DL,north,dl,,28.788001919873043,77.11161311034273
190,North East,DL,north_east,dl,,28.72493922316492,77.25150915712511
191,North West,DL,north_west,dl,,28.722217553666127,77.06799709930634
192,South,DL,south,dl,,28.49151281728357,77.18995261465568
193,South West,DL,south_west,dl,,28.579102036811317,76.98633532360518
194,West,DL,west,dl,,28.653725399890156,77.065982795247
195,South East,DL,south_east,dl,,28.544529662275934,77.27276043371793
196,Shahdara,DL,shahdara,dl,,28.675118038521514,77.29159878930368
197,Diu,DH,diu,dh,,20.721701055235158,70.94366454338751
198,Central,DL,central,dl,,28.69728234967774,77.20938252369504
199,Dadra And Nagar Haveli,DH,dadra_and_nagar_haveli,dh,,20.195712281345198,73.08400816137753
200,North Goa,GA,north_goa,ga,,15.556350584418851,73.998805509843
201,South Goa,GA,south_goa,ga,,15.199108996747253,74.10153079971697
202,Ahmadabad,GJ,ahmadabad,gj,,22.844181272916988,72.25261199005553
203,Amreli,GJ,amreli,gj,,21.433087455452,71.24870627111818
204,East,DL,east,dl,,28.61479983424066,77.29512129714453
205,Anand,GJ,anand,gj,,22.50479764241389,72.78550087614701
206,Banas Kantha,GJ,banas_kantha,gj,,24.251981187634453,72.00478589126843
207,Bharuch,GJ,bharuch,gj,,21.75225320537411,72.94681783796355
208,Bhavnagar,GJ,bhavnagar,gj,,21.51799686245857,71.81708602662263
209,Dang,GJ,dang,gj,,20.80213507850393,73.69115484370555
210,Dohad,GJ,dohad,gj,,22.892648675424393,74.07687009773844
211,Gandhinagar,GJ,gandhinagar,gj,,23.233268552513792,72.67911012411017
212,Jamnagar,GJ,jamnagar,gj,,22.276298099850774,70.17009980415041
213,Junagadh,GJ,junagadh,gj,,21.388375257333337,70.469582020115
214,Kachchh,GJ,kachchh,gj,,23.59036293595318,70.27100956819193
215,Kheda,GJ,kheda,gj,,22.80978345785291,72.91122918080096
216,Mahesana,GJ,mahesana,gj,,23.571094975697324,72.42728246763407
217,Narmada,GJ,narmada,gj,,21.74031331002513,73.67169909957413
218,Navsari,GJ,navsari,gj,,20.828034198241557,73.12332475446053
219,Panch Mahals,GJ,panch_mahals,gj,,22.712182148050402,73.64605234022154
220,Patan,GJ,patan,gj,,23.80701165984109,71.78868734926215
221,Porbandar,GJ,porbandar,gj,,21.698049247534858,69.81887170228308
222,Rajkot,GJ,rajkot,gj,,22.076393725997306,70.76903480191031
223,Sabar Kantha,GJ,sabar_kantha,gj,,23.832171158278253,73.06387449558976
224,Surat,GJ,surat,gj,,21.231440933258547,73.12241332237755
225,Surendranagar,GJ,surendranagar,gj,,22.83698027864158,71.58223879685855
226,Vadodara,GJ,vadodara,gj,,22.262260851575917,73.24176488502384
